Vehicle Class Wise Fuel Data  of Meghalaya ( Till Today ),,,
S No,                      Vehicle Class                       ,Fuel ,     TOTAL     
,,,
,,ELECTRIC(BOV),
1,E-RICKSHAW(P),1,1
2,GOODS CARRIER,4,4
3,M-CYCLE/SCOOTER,25,25
4,MOTOR CAR,17,17
5,THREE WHEELER (GOODS),4,4
6,THREE WHEELER (PERSONAL),6,6
